Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3141    0.002    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\util.py:83(is_xp_array)
     1848    0.002    0.000    0.017    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3081(<listcomp>)
     3898    0.002    0.000    0.035    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_asarray.py:23(asarray)
     1527    0.002    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:25(is_punct)
     1640    0.002    0.000    0.017    0.000 spacy\vocab.pyx:129(get)
     1886    0.002    0.000    0.006    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1639(make_mask_none)
     2124    0.001    0.000    0.008    0.000 {method 'any' of 'numpy.ndarray' objects}
      137    0.001    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\linalg\lapack.py:982(_compute_lwork)
     1872    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(shape)
       11    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      137    0.001    0.000    0.125    0.001 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\signal\_savitzky_golay.py:225(savgol_filter)
      239    0.001    0.000    0.001    0.000 {method 'compress' of 'numpy.ndarray' objects}
      274    0.001    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:422(asarray_chkfinite)
